Battery Voltage (V),Battery Current (A),Battery Temperature (°C),Battery Health (%),Charging Cycles,State of Charge (SOC %),State of Health (SOH %),Motor Temperature (°C),Status
332,20,39,77,251,47,59,38,Normal
410,30,46,70,1384,99,75,85,High
304,2,0,30,0,2,28,18,Low
363,14,27,72,197,30,72,60,Normal
282,1,9,25,0,2,20,14,Low
284,2,8,49,0,12,22,13,Low
394,29,60,87,1453,93,90,72,High
412,38,48,59,1508,91,79,81,High
354,14,22,55,696,58,70,50,Normal
280,1,9,26,0,17,43,18,Low
388,34,60,98,1900,96,99,98,High
282,3,4,28,0,10,30,12,Low
344,12,24,100,217,29,78,21,Normal
336,9,27,85,811,85,75,69,Normal
362,20,22,57,214,90,78,50,Normal
290,2,9,29,0,5,14,13,Low
298,3,2,49,0,1,21,12,Low
320,8,21,70,695,53,52,37,Normal
399,39,57,57,1440,99,69,85,High
385,32,59,92,1067,91,81,72,High
361,8,31,50,708,23,83,47,Normal
290,1,8,38,0,9,47,17,Low
285,2,7,49,0,7,44,17,Low
344,19,12,77,767,58,50,67,Normal
395,24,45,62,1028,99,85,81,High
388,32,47,67,1911,98,81,82,High
408,30,57,95,1856,97,92,90,High
380,26,56,93,1934,94,96,86,High
357,18,14,65,529,88,87,47,Normal
363,8,20,100,44,87,82,54,Normal
332,11,35,67,791,48,83,38,Normal
354,8,10,89,84,31,63,68,Normal
363,5,23,56,216,41,92,66,Normal
305,1,0,49,0,7,19,17,Low
391,29,49,72,1579,92,52,97,High
352,19,34,59,387,35,95,60,Normal
329,18,39,56,579,88,99,30,Normal
281,4,3,47,0,13,31,18,Low
300,1,5,28,0,16,42,17,Low
389,30,56,97,1053,100,53,96,High
356,14,23,77,790,20,97,58,Normal
395,35,54,97,1531,99,79,83,High
315,2,2,42,0,3,24,11,Low
392,37,43,69,1127,97,62,95,High
314,4,1,46,0,7,47,13,Low
310,2,0,24,0,19,33,16,Low
287,2,5,25,0,18,23,18,Low
347,5,33,88,274,27,80,60,Normal
280,3,2,37,0,9,22,13,Low
353,15,38,76,753,51,89,27,Normal
392,31,48,88,1753,97,50,72,High
294,1,3,49,0,11,37,12,Low
295,1,3,36,0,13,25,11,Low
355,6,25,80,696,63,66,58,Normal
410,25,49,79,1979,98,73,89,High
337,10,14,88,189,48,81,30,Normal
331,13,37,78,950,88,90,70,Normal
397,34,42,89,1492,94,62,77,High
302,1,2,18,0,6,28,15,Low
351,19,14,56,708,32,59,20,Normal
281,1,3,10,0,19,32,12,Low
382,28,44,95,1152,95,97,94,High
322,8,26,81,23,35,88,48,Normal
307,3,3,36,0,12,25,10,Low
283,1,0,10,0,18,46,19,Low
372,31,53,82,1964,96,87,81,High
327,11,32,96,42,38,76,44,Normal
297,1,6,41,0,8,32,19,Low
311,1,0,27,0,14,31,13,Low
333,10,16,95,758,75,53,51,Normal
390,37,56,58,1073,100,98,82,High
325,18,23,77,866,69,73,22,Normal
338,11,16,97,420,59,50,62,Normal
284,4,7,28,0,6,43,17,Low
308,1,6,47,0,4,45,19,Low
314,3,6,22,0,17,32,18,Low
341,15,14,72,605,23,62,49,Normal
364,19,18,90,75,90,100,57,Normal
292,3,7,23,0,18,41,12,Low
322,13,31,88,487,40,82,25,Normal
384,22,52,94,1107,97,55,91,High
345,7,37,71,439,67,95,56,Normal
364,18,11,59,86,52,56,58,Normal
332,20,24,65,350,76,75,33,Normal
301,2,0,43,0,5,10,11,Low
334,9,35,95,759,73,81,47,Normal
369,20,34,77,96,25,63,33,Normal
336,10,34,63,139,22,89,25,Normal
312,2,7,44,0,7,12,18,Low
322,6,35,84,531,24,84,51,Normal
339,19,37,56,592,27,77,23,Normal
416,39,47,93,1325,95,69,75,High
285,2,6,35,0,4,23,19,Low
382,35,54,65,1502,99,60,72,High
363,5,36,71,604,72,94,40,Normal
419,34,49,56,1412,91,74,76,High
381,38,52,91,1909,100,81,88,High
351,7,28,82,564,73,90,48,Normal
407,31,41,97,1617,100,86,82,High
348,11,33,79,141,46,75,30,Normal
327,12,17,79,328,49,65,39,Normal
366,6,24,84,313,78,73,36,Normal
324,12,10,79,880,72,86,22,Normal
348,13,31,99,131,62,96,36,Normal
402,29,47,75,1778,98,71,87,High
316,2,7,39,0,17,41,12,Low
367,12,38,65,103,54,90,41,Normal
